czas[s],pozycja_x[pixel],wyjscie regulatora_x,bład errox_x,pozycja_y[pixel],wyjscie regulatora y,bład error_y
0.0,152,-60,-168,29,46,-211
0.47,157,-49,-163,33,42,-207
0.58,153,-79,-167,32,51,-208
0.64,154,-61,-166,28,58,-212
0.73,154,-65,-166,28,52,-212
0.77,153,-70,-167,32,43,-208
0.83,154,-64,-166,32,53,-208
0.9,152,-77,-168,32,54,-208
0.96,152,-70,-168,32,55,-208
1.01,159,-36,-161,32,56,-208
1.06,159,-71,-161,32,57,-208
1.12,165,-50,-155,38,45,-202
1.19,170,-53,-150,41,51,-199
1.26,175,-55,-145,49,43,-191
1.33,182,-43,-138,60,32,-180
1.4,186,-50,-134,67,36,-173
1.45,194,-33,-126,80,21,-160
1.51,202,-38,-118,95,20,-145
1.57,211,-35,-109,112,16,-128
1.64,222,-23,-98,130,9,-110
1.7,234,-16,-86,150,1,-90
1.77,246,-28,-74,172,10,-68
1.85,253,-41,-67,183,27,-57
1.94,266,-11,-54,205,-5,-35
2.0,279,-6,-41,229,-15,-11
2.07,294,8,-26,256,-29,16
2.13,307,1,-13,281,-26,41
2.19,333,65,13,322,-76,82
2.25,350,33,30,348,-44,108
2.31,369,32,49,376,-41,136
2.38,386,29,66,402,-41,162
2.45,407,48,87,437,-65,197
2.52,427,67,107,454,-39,214
2.57,440,38,120,450,16,210
2.63,450,18,130,443,19,203
2.71,472,96,152,414,91,174
2.76,484,51,164,392,72,152
2.82,495,46,175,373,61,133
2.88,496,5,176,362,42,122
2.93,512,65,192,328,94,88
3.0,522,54,202,316,51,76
3.06,533,52,213,292,73,52
3.13,542,55,222,268,86,28
3.18,540,12,220,258,44,18
3.27,540,20,220,224,116,-16
3.33,536,1,216,219,45,-21
3.38,534,15,214,203,67,-37
3.45,523,-33,203,199,45,-41
3.5,525,31,205,181,80,-59
3.56,518,-8,198,173,58,-67
3.62,507,-41,187,170,48,-70
3.66,492,-55,172,170,39,-70
3.72,477,-54,157,174,27,-66
3.77,470,-18,150,175,36,-65
3.82,455,-72,135,182,14,-58
3.86,440,-31,120,192,20,-48
3.95,433,-15,113,198,23,-42
4.02,416,-55,96,211,6,-29
4.09,409,-26,89,218,15,-22
4.14,396,-63,76,235,-21,-5
4.19,390,-26,70,244,4,4
4.24,373,-86,53,273,-61,33
4.29,365,-32,45,293,-22,53
4.36,358,-23,38,314,-16,74
4.44,354,-17,34,326,-7,86
4.51,350,-25,30,347,-50,107
4.56,347,-20,27,358,-20,118
4.61,344,-21,24,382,-68,142
4.66,342,-14,22,406,-56,166
4.71,341,-10,21,431,-71,191
4.77,344,12,24,452,-70,212
4.81,348,15,28,450,3,210
4.87,352,17,32,440,28,200
4.92,356,18,36,432,22,192
4.97,362,30,42,419,37,179
5.02,365,11,45,413,11,173
5.1,370,26,50,398,42,158
5.15,374,23,54,390,24,150
5.2,381,40,61,373,52,133
5.26,385,28,65,363,34,123
5.3,390,28,70,344,50,104
5.37,394,30,74,326,62,86
5.42,398,32,78,307,67,67
5.47,401,26,81,298,35,58
5.52,403,23,83,281,60,41
5.58,404,19,84,273,33,33
5.64,407,34,87,258,69,18
5.68,408,22,88,245,62,5
5.72,408,17,88,239,37,-1
5.77,408,18,88,228,42,-12
5.86,405,9,85,219,36,-21
5.93,404,15,84,216,27,-24
6.0,400,2,80,210,37,-30
6.07,397,4,77,209,25,-31
6.12,394,3,74,207,29,-33
6.17,383,-28,63,210,15,-30
6.23,374,-21,54,213,15,-27
6.3,365,-28,45,218,8,-22
6.35,354,-41,34,225,1,-15
6.41,342,-48,22,233,-3,-7
6.46,338,-13,18,237,7,-3
6.51,326,-50,6,247,-9,7
6.57,312,-63,-8,257,-11,17
6.62,298,-53,-22,267,-7,27
6.69,292,-32,-28,273,-3,33
6.74,279,-51,-41,285,-12,45
6.82,267,-67,-53,295,-18,55
6.87,261,-39,-59,302,-10,62
6.92,251,-46,-69,314,-15,74
7.0,241,-64,-79,329,-37,89
7.05,236,-43,-84,334,-10,94
7.11,223,-90,-97,354,-62,114
7.15,220,-40,-100,360,-20,120
7.2,214,-58,-106,372,-42,132
7.24,206,-73,-114,384,-45,144
7.29,203,-44,-117,393,-33,153
7.34,201,-40,-119,399,-25,159
7.39,198,-49,-122,408,-41,168
7.43,196,-42,-124,412,-22,172
7.49,194,-44,-126,420,-37,180
7.53,195,-29,-125,423,-22,183
7.58,196,-29,-124,431,-42,191
7.63,197,-30,-123,432,-19,192
7.68,198,-32,-122,434,-22,194
7.74,202,-19,-118,436,-23,196
7.8,205,-23,-115,436,-19,196
7.86,211,-2,-109,436,-20,196
7.9,214,-21,-106,434,-15,194
7.96,221,0,-99,433,-18,193
8.01,228,-8,-92,428,-11,188
8.07,232,-19,-88,426,-18,186
8.14,239,4,-81,422,-10,182
8.19,243,-13,-77,418,-11,178
8.24,253,15,-67,413,-9,173
8.3,258,-9,-62,410,-16,170
8.36,266,7,-54,403,-4,163
8.42,275,12,-45,395,-2,155
8.47,285,14,-35,388,-6,148
8.54,293,14,-27,379,3,139
8.59,298,3,-22,375,-10,135
8.64,306,21,-14,367,3,127
8.69,314,16,-6,359,0,119
8.75,318,3,-2,355,-9,115
8.8,327,18,7,347,-2,107
8.86,335,19,15,340,-3,100
8.92,342,21,22,333,0,93
8.98,346,6,26,330,-12,90
9.03,355,23,35,321,0,81
9.11,360,11,40,318,-12,78
9.17,366,19,46,310,1,70
9.24,370,12,50,302,2,62
9.3,375,16,55,294,2,54
9.36,377,6,57,290,-7,50
9.43,384,29,64,280,10,40
9.49,387,12,67,277,-8,37
9.55,390,14,70,270,2,30
9.62,393,15,73,262,5,22
9.68,396,16,76,254,6,14
9.75,399,18,79,250,-2,10
9.81,400,11,80,243,8,3
9.87,404,26,84,238,3,-2
9.92,405,14,85,234,3,-6
9.97,408,25,88,232,-4,-8
10.02,409,15,89,230,-4,-10
10.08,410,17,90,230,-9,-10
10.13,410,12,90,230,-9,-10
10.19,409,8,89,230,-9,-10
10.25,408,9,88,230,-9,-10
10.3,406,8,86,234,-17,-6
10.38,404,1,84,238,-25,-2
10.42,402,3,82,239,-13,-1
10.48,399,2,79,244,-22,4
10.54,393,-15,73,248,-23,8
10.59,391,5,71,250,-16,10
10.66,381,-26,61,258,-31,18
10.72,377,-9,57,260,-19,20
10.78,371,-15,51,265,-26,25
10.84,363,-26,43,270,-27,30
10.9,360,-6,40,271,-18,31
10.95,353,-27,33,274,-24,34
11.0,345,-28,25,278,-26,38
11.07,338,-24,18,281,-24,41
11.13,335,-10,15,282,-20,42
11.19,329,-24,9,285,-25,45
11.24,323,-13,3,288,-23,48
11.36,321,-7,1,290,-24,50
11.43,315,-23,-5,293,-26,53
11.5,310,-20,-10,294,-22,54
11.57,306,-20,-14,296,-26,56
11.63,301,-20,-19,296,-21,56
11.71,296,-30,-24,298,-27,58
11.76,295,-11,-25,298,-22,58
11.82,293,-15,-27,298,-22,58
11.88,292,-12,-28,297,-20,57
11.94,293,-3,-27,297,-23,57
12.0,293,-8,-27,298,-26,58
12.05,294,-3,-26,298,-23,58
12.1,295,-3,-25,298,-24,58
12.16,297,1,-23,295,-15,55
12.22,299,3,-21,294,-20,54
12.26,299,-7,-21,294,-24,54
12.32,302,7,-18,290,-13,50
12.38,303,-3,-17,290,-24,50
12.45,307,17,-13,286,-10,46
12.49,310,8,-10,283,-15,43
12.55,310,-5,-10,282,-20,42
12.59,311,1,-9,278,-10,38
12.64,312,1,-8,274,-9,34
12.68,313,1,-7,269,-4,29
12.73,312,-10,-8,266,-12,26
12.77,312,-5,-8,261,-5,21
12.82,311,-10,-9,258,-12,18
