czas[s],pozycja_x[pixel],wyjscie_x,bład errox_x,P=1,I= 0,D= 0
0.0,126,-194,-194
0.47,131,-189,-189
0.53,133,-187,-187
0.57,131,-189,-189
0.61,130,-190,-190
0.69,130,-190,-190
0.77,131,-189,-189
0.82,131,-189,-189
0.88,131,-189,-189
0.94,130,-190,-190
1.0,136,-184,-184
1.07,144,-176,-176
1.14,161,-159,-159
1.2,182,-138,-138
1.26,193,-127,-127
1.32,220,-100,-100
1.37,250,-70,-70
1.44,280,-40,-40
1.51,316,-4,-4
1.57,356,36,36
1.62,401,81,81
1.68,425,105,105
1.76,475,155,155
1.84,547,227,227
1.89,535,215,215
1.94,509,189,189
2.0,500,180,180
2.06,500,180,180
2.13,490,170,170
2.19,487,167,167
2.24,482,162,162
2.3,476,156,156
2.36,461,141,141
2.42,445,125,125
2.47,422,102,102
2.53,394,74,74
2.58,380,60,60
2.65,345,25,25
2.69,310,-10,-10
2.74,290,-30,-30
2.8,249,-71,-71
2.88,205,-115,-115
2.93,159,-161,-161
2.99,129,-191,-191
3.04,146,-174,-174
3.1,158,-162,-162
3.16,172,-148,-148
3.21,175,-145,-145
3.26,183,-137,-137
3.32,190,-130,-130
3.37,195,-125,-125
3.42,206,-114,-114
3.48,222,-98,-98
3.55,233,-87,-87
3.62,252,-68,-68
3.69,263,-57,-57
3.75,289,-31,-31
3.8,303,-17,-17
3.86,347,27,27
3.95,379,59,59
4.02,416,96,96
4.08,453,133,133
4.17,475,155,155
4.24,520,200,200
4.3,523,203,203
4.36,508,188,188
4.42,511,191,191
4.47,504,184,184
4.54,495,175,175
4.59,484,164,164
4.65,468,148,148
4.71,458,138,138
4.78,438,118,118
4.86,413,93,93
4.91,400,80,80
4.97,368,48,48
5.03,332,12,12
5.09,293,-27,-27
5.14,251,-69,-69
5.22,230,-90,-90
5.28,158,-162,-162
5.34,130,-190,-190
5.41,147,-173,-173
5.47,166,-154,-154
5.53,174,-146,-146
5.61,184,-136,-136
5.69,188,-132,-132
5.74,202,-118,-118
5.81,214,-106,-106
5.88,221,-99,-99
5.93,246,-74,-74
5.99,269,-51,-51
6.05,294,-26,-26
6.09,322,2,2
6.14,354,34,34
6.21,372,52,52
6.27,409,89,89
6.34,449,129,129
6.39,469,149,149
6.46,507,187,187
6.51,531,211,211
6.57,506,186,186
6.62,495,175,175
6.69,490,170,170
6.75,478,158,158
6.8,462,142,142
6.86,455,135,135
6.91,435,115,115
6.98,408,88,88
7.05,380,60,60
7.11,363,43,43
7.17,327,7,7
7.23,290,-30,-30
7.28,251,-69,-69
7.33,211,-109,-109
7.39,166,-154,-154
7.44,128,-192,-192
7.49,143,-177,-177
7.54,165,-155,-155
7.61,170,-150,-150
7.67,178,-142,-142
7.72,182,-138,-138
7.78,190,-130,-130
7.86,201,-119,-119
7.96,214,-106,-106
8.04,222,-98,-98
8.11,239,-81,-81
8.16,261,-59,-59
8.22,286,-34,-34
8.27,330,10,10
8.32,381,61,61
8.39,419,99,99
8.46,438,118,118
8.51,482,162,162
8.56,504,184,184
8.62,546,226,226
8.67,522,202,202
8.72,508,188,188
8.77,498,178,178
8.82,492,172,172
8.88,491,171,171
8.93,486,166,166
8.98,474,154,154
9.02,462,142,142
9.07,446,126,126
9.12,421,101,101
9.17,406,86,86
9.22,376,56,56
9.28,358,38,38
9.34,321,1,1
9.39,301,-19,-19
9.45,259,-61,-61
9.51,236,-84,-84
9.56,188,-132,-132
9.6,164,-156,-156
9.65,128,-192,-192
9.72,156,-164,-164
9.77,169,-151,-151
9.83,174,-146,-146
9.89,182,-138,-138
9.95,186,-134,-134
10.02,195,-125,-125
10.08,201,-119,-119
10.15,215,-105,-105
10.21,233,-87,-87
10.27,251,-69,-69
10.34,274,-46,-46
10.39,299,-21,-21
10.45,329,9,9
10.51,359,39,39
10.56,378,58,58
10.62,432,112,112
10.67,452,132,132
10.72,484,164,164
10.77,530,210,210
