czas[s],pozycja_y[pixel],wyjscie_y,bład errox_y,P=1,I= 0,D= 0
0.0,33,207,-207
0.47,32,208,-208
0.58,32,208,-208
0.65,32,208,-208
0.69,32,208,-208
0.77,32,208,-208
0.82,32,208,-208
0.87,33,207,-207
0.92,34,206,-206
0.98,37,203,-203
1.04,46,194,-194
1.09,64,176,-176
1.16,76,164,-164
1.21,106,134,-134
1.26,141,99,-99
1.31,183,57,-57
1.37,204,36,-36
1.44,252,-12,12
1.49,305,-65,65
1.56,333,-93,93
1.62,395,-155,155
1.69,428,-188,188
1.77,442,-202,202
1.85,402,-162,162
1.92,382,-142,142
1.99,371,-131,131
2.07,362,-122,122
2.12,350,-110,110
2.19,327,-87,87
2.24,308,-68,68
2.31,285,-45,45
2.37,256,-16,16
2.43,224,16,-16
2.5,190,50,-50
2.58,149,91,-91
2.63,106,134,-134
2.69,84,156,-156
2.74,32,208,-208
2.82,46,194,-194
2.9,78,162,-162
2.95,86,154,-154
3.04,104,136,-136
3.11,122,118,-118
3.17,142,98,-98
3.24,167,73,-73
3.3,196,44,-44
3.35,248,-8,8
3.4,288,-48,48
3.46,310,-70,70
3.52,356,-116,116
3.58,409,-169,169
3.65,450,-210,210
3.72,433,-193,193
3.8,406,-166,166
3.87,394,-154,154
3.92,384,-144,144
3.98,371,-131,131
4.05,357,-117,117
4.12,338,-98,98
4.19,316,-76,76
4.26,288,-48,48
4.32,257,-17,17
4.38,221,19,-19
4.46,182,58,-58
4.51,136,104,-104
4.56,92,148,-148
4.62,38,202,-202
4.68,39,201,-201
4.73,70,170,-170
4.8,85,155,-155
4.87,91,149,-149
4.94,106,134,-134
5.01,122,118,-118
5.08,130,110,-110
5.14,150,90,-90
5.2,175,65,-65
5.29,204,36,-36
5.36,256,-16,16
5.43,298,-58,58
5.5,343,-103,103
5.55,367,-127,127
5.59,446,-206,206
5.65,430,-190,190
5.7,402,-162,162
5.75,389,-149,149
5.8,378,-138,138
5.85,372,-132,132
5.9,360,-120,120
5.95,354,-114,114
6.0,338,-98,98
6.08,329,-89,89
6.13,307,-67,67
6.18,281,-41,41
6.23,266,-26,26
6.28,234,6,-6
6.33,200,40,-40
6.4,184,56,-56
6.45,143,97,-97
6.51,123,117,-117
6.56,80,160,-160
6.63,57,183,-183
6.67,30,210,-210
6.72,58,182,-182
6.86,77,163,-163
